toehold,rival,opening_bid,own_profit
0.15,eqm-restart-3,0.0000,0.432496
0.15,eqm-restart-3,0.3750,0.347313
0.15,eqm-restart-3,0.7500,0.347360
0.15,eqm-restart-3,1.1250,0.455445
0.15,eqm-restart-3,1.5000,0.301042
0.15,eqm-restart-3,1.8750,0.235417
0.15,eqm-restart-3,2.2500,0.087500
0.15,eqm-restart-3,2.6250,-0.231250
0.15,eqm-restart-3,3.0000,-0.550000
0.15,eqm-restart-4,0.0000,0.432465
0.15,eqm-restart-4,0.3750,0.323960
0.15,eqm-restart-4,0.7500,0.323967
0.15,eqm-restart-4,1.1250,0.455676
0.15,eqm-restart-4,1.5000,0.301042
0.15,eqm-restart-4,1.8750,0.235417
0.15,eqm-restart-4,2.2500,0.087500
0.15,eqm-restart-4,2.6250,-0.231250
0.15,eqm-restart-4,3.0000,-0.550000
0.15,eqm-restart-5,0.0000,0.432466
0.15,eqm-restart-5,0.3750,0.324022
0.15,eqm-restart-5,0.7500,0.347298
0.15,eqm-restart-5,1.1250,0.455420
0.15,eqm-restart-5,1.5000,0.297291
0.15,eqm-restart-5,1.8750,0.235417
0.15,eqm-restart-5,2.2500,0.087500
0.15,eqm-restart-5,2.6250,-0.231250
0.15,eqm-restart-5,3.0000,-0.550000
0.15,uniform-rival,0.0000,0.603282
0.15,uniform-rival,0.3750,0.572033
0.15,uniform-rival,0.7500,0.537135
0.15,uniform-rival,1.1250,0.497873
0.15,uniform-rival,1.5000,0.453958
0.15,uniform-rival,1.8750,0.398698
0.15,uniform-rival,2.2500,0.310417
0.15,uniform-rival,2.6250,0.109375
0.15,uniform-rival,3.0000,-0.550000
0.2,eqm-restart-0,0.0000,0.443054
0.2,eqm-restart-0,0.3750,0.414597
0.2,eqm-restart-0,0.7500,0.414585
0.2,eqm-restart-0,1.1250,0.656285
0.2,eqm-restart-0,1.5000,0.397917
0.2,eqm-restart-0,1.8750,0.341667
0.2,eqm-restart-0,2.2500,0.200000
0.2,eqm-restart-0,2.6250,-0.100000
0.2,eqm-restart-0,3.0000,-0.400000
0.2,eqm-restart-1,0.0000,0.414589
0.2,eqm-restart-1,0.3750,0.520303
0.2,eqm-restart-1,0.7500,0.414584
0.2,eqm-restart-1,1.1250,0.656811
0.2,eqm-restart-1,1.5000,0.397918
0.2,eqm-restart-1,1.8750,0.363889
0.2,eqm-restart-1,2.2500,0.141667
0.2,eqm-restart-1,2.6250,-0.100000
0.2,eqm-restart-1,3.0000,-0.400000
0.2,eqm-restart-2,0.0000,0.443056
0.2,eqm-restart-2,0.3750,0.516667
0.2,eqm-restart-2,0.7500,0.414596
0.2,eqm-restart-2,1.1250,0.656419
0.2,eqm-restart-2,1.5000,0.397917
0.2,eqm-restart-2,1.8750,0.341669
0.2,eqm-restart-2,2.2500,0.200000
0.2,eqm-restart-2,2.6250,-0.100000
0.2,eqm-restart-2,3.0000,-0.400000
0.2,eqm-restart-5,0.0000,0.527517
0.2,eqm-restart-5,0.3750,0.414585
0.2,eqm-restart-5,0.7500,0.443056
0.2,eqm-restart-5,1.1250,0.656309
0.2,eqm-restart-5,1.5000,0.395214
0.2,eqm-restart-5,1.8750,0.341667
0.2,eqm-restart-5,2.2500,0.200000
0.2,eqm-restart-5,2.6250,-0.100000
0.2,eqm-restart-5,3.0000,-0.400000
0.2,uniform-rival,0.0000,0.713897
0.2,uniform-rival,0.3750,0.684644
0.2,uniform-rival,0.7500,0.651845
0.2,uniform-rival,1.1250,0.614931
0.2,uniform-rival,1.5000,0.573333
0.2,uniform-rival,1.8750,0.522917
0.2,uniform-rival,2.2500,0.441667
0.2,uniform-rival,2.6250,0.250000
0.2,uniform-rival,3.0000,-0.400000
